element_idx,element_type,jens,jeans
0,R,0.598059,0.38335
1,T,0.511314,0.342183
2,H,0.960689,0.581125
3,R,0.58019,0.390023
4,R,0.564462,0.352841
5,T,0.399644,0.242785
6,T,0.663603,0.539537
7,R,0.684863,0.503151
8,T,0.625599,0.517622
9,P,0.313388,0.228001
10,P,0.37791,0.223111
11,T,0.656462,0.534219
12,T,0.33466,0.21916
13,T,0.709624,0.582411
14,P,0.570779,0.335982
15,P,0.347051,0.144797
16,P,0.40308,0.208314
17,P,0.389897,0.174612
18,P,0.454901,0.194184
19,T,0.455082,0.2225
20,T,0.436949,0.244133
21,T,0.460012,0.213163
22,T,0.432459,0.246268
23,T,0.695019,0.377393
24,T,0.553285,0.284082
25,P,0.522176,0.227443
26,P,0.578346,0.310448
27,P,0.634032,0.322584
28,P,0.460361,0.289633
29,P,0.391497,0.159211
30,T,0.304473,0.126691
31,T,0.290369,0.122005
32,T,0.680561,0.394156
33,T,0.356899,0.1468
34,T,0.629517,0.366106
35,T,0.42137,0.178532
36,P,0.2813,0.158203
37,P,0.10458,0.0732098
38,P,0.558971,0.297597
39,T,0.592349,0.440369
40,R,0.707302,0.40473
41,T,0.553205,0.403968
42,R,0.592824,0.378582
43,P,0.597242,0.252739
44,P,0.609375,0.21356
45,H,0.7685,0.392052
46,H,0.884495,0.416933
47,P,0.459256,0.174653
48,P,0.474408,0.271857
49,H,0.885678,0.507868
50,H,0.918338,0.435402
51,H,0.758005,0.355945
52,P,0.177116,0.122719
53,P,0.423113,0.256682
54,P,0.361356,0.183513
55,H,0.812303,0.368893
56,H,0.853089,0.442087
57,P,0.36636,0.215982
58,P,0.425661,0.203205
59,P,0.398408,0.267357
60,P,0.802413,0.376562
61,P,0.522782,0.230218
62,P,0.468268,0.200346
63,T,0.240069,0.103013
64,T,0.219363,0.0847591
65,T,0.684348,0.415665
66,T,0.435993,0.223652
67,T,0.381116,0.208164
68,T,0.304589,0.103557
69,H,0.857124,0.441859
70,H,0.8698,0.371485
71,T,0.522741,0.321728
72,T,0.550395,0.263681
73,T,0.331034,0.180866
74,T,0.606582,0.433726
75,R,0.768803,0.610468
76,R,0.642303,0.399689
77,R,0.544818,0.381525
78,P,0.564877,0.300784
79,P,0.282825,0.186221
80,P,0.26789,0.207265
81,R,0.739862,0.476474
82,H,0.816326,0.402531
83,T,0.761351,0.640079
84,P,0.376637,0.241115
85,P,0.417754,0.234244
86,H,0.717002,0.294348
87,T,0.601717,0.512576
88,P,0.566217,0.370356
89,P,0.280265,0.116033
90,P,0.497225,0.275397
91,T,0.320729,0.156079
92,T,0.194222,0.0946131
93,T,0.21126,0.0722322
94,T,0.133905,0.0576792
95,T,0.496509,0.366889
96,T,0.516984,0.276429
97,P,0.611703,0.2589
98,P,0.716395,0.489938
99,P,0.470284,0.184047
100,T,0.33442,0.113273
101,T,0.407824,0.186051
102,T,0.414372,0.182343
103,T,0.429411,0.220825
104,T,0.439606,0.19578
105,T,0.468491,0.200749
106,T,0.510659,0.272471
107,P,0.537454,0.260932
108,P,0.420548,0.288041
109,P,0.359919,0.168849
110,P,0.321635,0.145847
111,P,0.339924,0.108718
112,T,0.653911,0.521684
113,R,0.706636,0.41254
114,T,0.582114,0.387325
115,R,0.403406,0.259033
116,H,0.751518,0.343255
117,R,0.593207,0.526425
118,T,0.670165,0.480773
119,T,0.573365,0.456565
120,T,0.684339,0.522074
121,T,0.980336,0.940564
122,R,0.766802,0.417309
123,R,0.762683,0.382133
124,H,0.866628,0.379592
125,R,0.664234,0.408904
126,R,0.611144,0.326994
127,R,0.746826,0.595848
128,H,0.881567,0.333667
129,H,0.907867,0.317891
130,P,0.683868,0.434614
131,P,0.506263,0.336232
132,R,0.745662,0.370602
133,R,0.504134,0.235433
