element_idx,element_type,jens,jeans
0,R,0.743678,0.497497
1,R,0.702527,0.495623
2,R,0.702527,0.495623
3,T,0.531697,0.407645
4,R,0.764941,0.502172
5,T,0.576967,0.422409
6,R,0.737538,0.477391
7,R,0.737538,0.477391
8,R,0.859443,0.556381
9,R,0.860047,0.574999
10,R,0.75076,0.402744
11,R,0.721245,0.385789
12,R,0.75076,0.405777
13,R,0.741064,0.390483
14,R,0.745191,0.419491
15,R,0.707716,0.415843
16,R,0.749011,0.411915
17,R,0.707716,0.405183
18,H,0.97571,0.880776
19,H,0.991346,0.854485
20,T,0.63285,0.472499
21,R,0.859443,0.556381
22,R,0.703233,0.403961
23,R,0.737421,0.422308
24,P,0.418503,0.288239
25,P,0.435241,0.279934
26,P,0.440489,0.298826
27,P,0.425062,0.280117
28,R,0.73401,0.419723
29,R,0.739839,0.432886
30,H,0.991202,0.811719
31,H,0.993087,0.714797
32,R,0.69769,0.477312
33,R,0.720376,0.477312
34,R,0.721844,0.495054
35,R,0.721844,0.495054
36,R,0.706927,0.487945
37,R,0.706927,0.489499
38,R,0.715857,0.473405
39,R,0.725822,0.487945
40,R,0.878094,0.590852
41,R,0.846622,0.545164
42,R,0.749043,0.418149
43,R,0.743907,0.407336
44,R,0.692665,0.377978
45,R,0.743907,0.398811
46,R,0.732753,0.418502
47,R,0.727142,0.40962
48,R,0.732753,0.410153
49,R,0.745347,0.420529
50,H,0.986879,0.864703
51,H,0.99407,0.824316
52,R,0.857718,0.549974
53,R,0.857718,0.549974
54,R,0.692665,0.386388
55,R,0.748564,0.419981
56,R,0.751043,0.370523
57,R,0.721245,0.354995
58,R,0.749011,0.411915
59,R,0.73833,0.405183
60,R,0.756647,0.416241
61,R,0.727142,0.40962
62,H,0.983183,0.807356
63,H,0.986105,0.780483
64,R,0.605605,0.547729
65,R,0.630718,0.56575
66,H,0.858276,0.519532
67,H,0.858276,0.497387
68,R,0.651572,0.30988
69,R,0.668559,0.31008
70,R,0.652026,0.337178
71,R,0.666784,0.336056
72,R,0.656599,0.59643
73,R,0.605605,0.547729
74,H,0.835679,0.49452
75,H,0.835679,0.49452
76,R,0.648092,0.339492
77,R,0.646417,0.311591
78,R,0.651572,0.372041
79,R,0.646417,0.311591
80,H,0.962696,0.604978
81,H,0.959761,0.669273
82,H,0.995184,0.758697
83,H,0.992501,0.786394
84,H,0.990618,0.861329
85,H,0.99444,0.825942
86,H,0.992594,0.861137
87,H,0.990038,0.862727
88,H,0.95636,0.636898
89,H,0.964661,0.61388
90,H,0.991301,0.745148
91,H,0.996291,0.747103
92,H,0.991361,0.843744
93,H,0.979015,0.783375
94,H,0.983547,0.831837
95,H,0.989493,0.849707
96,R,0.594478,0.537009
97,T,0.449773,0.333822
98,R,0.54181,0.339345
99,H,0.862882,0.485276
100,R,0.670067,0.355425
101,R,0.652339,0.310816
102,P,0.353058,0.242035
103,P,0.38475,0.273535
104,R,0.617413,0.56295
105,R,0.594478,0.537009
106,H,0.842473,0.485276
107,H,0.842473,0.488696
108,R,0.667763,0.372118
109,R,0.651783,0.332693
110,R,0.689254,0.376348
111,R,0.651783,0.324222
112,H,0.964453,0.601819
113,H,0.95636,0.6021
114,H,0.992267,0.75945
115,H,0.992953,0.767581
116,H,0.990727,0.825788
117,H,0.994926,0.857747
118,H,0.993419,0.847713
119,H,0.993345,0.859876
120,R,0.76723,0.433362
121,H,0.959974,0.601152
122,H,0.99569,0.805318
123,R,0.776029,0.535986
124,H,0.998346,0.73943
125,H,0.994113,0.813867
126,H,0.994087,0.832453
127,H,0.995188,0.724371
128,H,0.997545,0.725766
129,H,0.995567,0.844119
130,H,0.995017,0.889792
131,H,0.997658,0.710829
132,H,0.995857,0.725684
133,H,0.99312,0.898805
134,H,0.992736,0.861398
135,H,0.999108,0.731859
136,H,0.997749,0.693839
137,H,0.996687,0.880615
138,H,0.996003,0.83866
139,H,0.99539,0.76341
140,H,0.998223,0.734258
141,H,0.995361,0.842167
142,H,0.995546,0.851195
143,H,0.995811,0.716757
144,H,0.841696,0.488757
145,R,0.563669,0.338662
146,T,0.433617,0.312823
147,R,0.619441,0.551227
148,R,0.63793,0.301681
149,R,0.63038,0.332683
150,P,0.395221,0.260299
151,P,0.354122,0.239274
152,H,0.832075,0.473246
153,H,0.832075,0.488757
154,R,0.644856,0.587681
155,R,0.605986,0.550249
156,R,0.631625,0.324725
157,R,0.65544,0.350597
158,R,0.631625,0.308558
159,R,0.642725,0.350597
160,H,0.995997,0.689367
161,H,0.994692,0.846803
162,H,0.995099,0.876146
163,H,0.996968,0.733555
164,H,0.993842,0.716196
165,H,0.994063,0.893671
166,H,0.995429,0.870992
167,H,0.998454,0.769804
168,R,0.733977,0.415917
169,H,0.958878,0.63195
170,H,0.996992,0.901603
171,H,0.996999,0.713803
172,R,0.776963,0.545497
173,H,0.995328,0.84552
174,H,0.99725,0.889814
175,H,0.997706,0.738344
176,H,0.959117,0.673486
177,H,0.968583,0.61964
178,H,0.994135,0.85562
179,H,0.996665,0.870888
180,H,0.993762,0.779511
181,H,0.995246,0.816131
182,H,0.994346,0.80483
183,H,0.994651,0.817118
184,H,0.996235,0.674202
185,H,0.996954,0.862295
186,H,0.993131,0.845133
187,H,0.993812,0.719311
188,H,0.996154,0.742913
189,H,0.98899,0.838403
190,H,0.994733,0.826993
191,H,0.996141,0.703572
192,H,0.856099,0.494614
193,H,0.866746,0.473246
194,R,0.605986,0.550249
195,R,0.588878,0.530848
196,R,0.632832,0.318594
197,R,0.659889,0.367341
198,R,0.632832,0.324725
199,R,0.694282,0.375872
200,H,0.845133,0.458018
201,H,0.856099,0.494614
202,R,0.588878,0.526731
203,R,0.590509,0.526731
204,R,0.658476,0.329666
205,R,0.663048,0.389551
206,R,0.658476,0.329666
207,R,0.659889,0.382377
208,H,0.966089,0.626925
209,H,0.966089,0.605629
210,H,0.989744,0.855106
211,H,0.98971,0.815186
212,H,0.990268,0.773613
213,H,0.992001,0.764509
214,H,0.984896,0.85325
215,H,0.988668,0.838122
216,H,0.961743,0.602828
217,H,0.961743,0.602828
218,H,0.986761,0.860416
219,H,0.980498,0.865873
220,H,0.990761,0.773198
221,H,0.993494,0.758277
222,H,0.986074,0.812803
223,H,0.988334,0.841513
224,H,0.99633,0.754631
225,H,0.992647,0.845612
226,H,0.996147,0.865929
227,H,0.997316,0.767024
228,H,0.99443,0.746169
229,H,0.987825,0.847275
230,H,0.989842,0.863911
