element_idx,element_type,jens,jeans
0,T,0.477045,0.352363
1,R,0.486266,0.391293
2,T,0.435371,0.28286
3,T,0.790153,0.691648
4,T,0.67972,0.579431
5,T,0.597217,0.433691
6,T,0.350681,0.212213
7,T,0.536415,0.293207
8,T,0.772457,0.65863
9,T,0.70625,0.488407
10,T,0.503385,0.387709
11,R,0.519132,0.442915
12,H,0.850556,0.4864
13,P,0.345044,0.164118
14,P,0.505468,0.332512
15,R,0.525825,0.351246
16,T,0.513283,0.38497
17,T,0.643651,0.628839
18,T,0.502937,0.376843
19,T,0.385438,0.242868
20,T,0.568184,0.406012
21,T,0.544171,0.42799
22,T,0.867624,0.670368
23,T,0.598317,0.438627
24,R,0.84087,0.511644
25,R,0.790138,0.518014
26,R,0.631366,0.372679
27,R,0.698452,0.527726
28,R,0.527802,0.334957
29,R,0.6011,0.241103
30,R,0.654827,0.270394
31,R,0.57151,0.193051
32,P,0.759658,0.320441
33,P,0.531198,0.20041
34,P,0.479384,0.240383
35,T,0.347599,0.130998
36,T,0.454433,0.1852
37,T,0.422002,0.180226
38,T,0.443796,0.220408
39,T,0.596207,0.293374
40,T,0.495836,0.221073
41,R,0.764985,0.43263
42,R,0.478204,0.274479
43,H,0.872445,0.469993
44,P,0.365271,0.169885
45,P,0.281384,0.178242
46,P,0.352325,0.248074
47,H,0.890559,0.377096
48,H,0.913129,0.51352
49,H,0.787156,0.414921
50,H,0.722636,0.454486
51,T,0.7193,0.625056
52,P,0.481136,0.257318
53,P,0.612814,0.312832
54,R,0.572325,0.203479
55,R,0.327266,0.104332
56,T,0.449838,0.258761
57,T,0.660699,0.436054
58,T,0.542807,0.278691
59,T,0.801045,0.622338
60,T,0.386375,0.227245
61,T,0.585661,0.342174
62,T,0.700277,0.479175
63,T,0.78303,0.656244
64,P,0.538818,0.299846
65,P,0.195202,0.132027
66,P,0.387561,0.146324
67,H,0.641527,0.482783
68,P,0.51901,0.317386
69,P,0.36524,0.218648
70,P,0.368475,0.306802
71,P,0.480779,0.22837
72,P,0.458201,0.31998
73,H,0.491979,0.37436
74,H,0.880517,0.559665
75,H,0.850628,0.555753
76,H,0.707662,0.42546
77,H,0.852028,0.374621
78,H,0.859182,0.226741
79,H,0.828339,0.42304
80,H,0.848355,0.563303
81,H,0.841079,0.18399
82,H,0.881189,0.622242
83,H,0.917647,0.540858
84,H,0.90166,0.665249
85,H,0.918643,0.592298
86,H,0.884014,0.532854
87,P,0.476677,0.358188
88,P,0.343097,0.234012
89,T,0.638497,0.416861
90,P,0.425595,0.231879
91,P,0.413415,0.299801
92,T,0.638298,0.430235
93,T,0.61779,0.394616
94,P,0.40063,0.271825
95,P,0.427124,0.25154
96,T,0.760399,0.683926
97,T,0.771994,0.65455
98,T,0.827861,0.727292
99,T,0.568492,0.340231
100,T,0.576123,0.273566
101,T,0.481721,0.291419
102,T,0.67229,0.58211
103,P,0.50537,0.344202
104,P,0.473041,0.373288
105,P,0.293051,0.22132
106,P,0.56872,0.358365
107,P,0.594095,0.390064
108,P,0.48544,0.265086
109,P,0.569859,0.261778
110,P,0.180641,0.142729
111,P,0.205267,0.176469
112,P,0.314519,0.142369
113,H,0.556274,0.215744
114,P,0.300905,0.182722
115,P,0.450223,0.229174
116,P,0.528502,0.329509
117,T,0.142841,0.046557
118,T,0.354898,0.129076
119,T,0.320308,0.122469
120,T,0.324052,0.115123
121,T,0.609525,0.407015
122,T,0.621547,0.397623
123,P,0.144738,0.0644111
124,P,0.419136,0.212615
125,T,0.434634,0.284419
126,P,0.231208,0.159761
127,P,0.375811,0.239136
128,P,0.375271,0.205037
129,P,0.766582,0.39357
130,P,0.550704,0.158655
131,P,0.340009,0.147254
132,T,0.306463,0.13082
133,T,0.252645,0.108094
134,T,0.320166,0.15012
135,T,0.229512,0.115253
136,T,0.510037,0.303322
137,T,0.419152,0.177111
138,P,0.419414,0.237242
139,P,0.704135,0.410425
140,P,0.314616,0.20384
141,P,0.406025,0.309235
142,P,0.108804,0.089029
143,H,0.267238,0.126332
144,H,0.796928,0.348023
145,P,0.175659,0.103196
146,P,0.356293,0.203271
147,P,0.330783,0.211293
148,T,0.367103,0.306607
149,T,0.459412,0.240668
150,P,0.240592,0.156667
151,P,0.785914,0.453884
152,P,0.777643,0.555292
153,P,0.214377,0.0671156
154,T,0.684031,0.595135
155,P,0.478745,0.288865
156,P,0.666547,0.343279
157,P,0.0874906,0.0620906
158,P,0.407234,0.226335
159,P,0.0914103,0.0658216
160,T,0.643269,0.362437
161,T,0.532412,0.318045
162,T,0.625689,0.394299
163,T,0.765366,0.658214
164,R,0.715968,0.461123
165,H,0.874844,0.347559
166,H,0.600214,0.225118
167,R,0.513966,0.235337
168,R,0.638801,0.309552
169,T,0.695365,0.583767
170,R,0.831294,0.609879
171,T,0.565835,0.389096
172,T,0.551084,0.40332
173,R,0.756043,0.538299
174,P,0.408968,0.228042
175,P,0.452984,0.298603
176,P,0.597756,0.290853
177,T,0.251371,0.12464
178,T,0.367042,0.209874
179,T,0.385088,0.174785
180,T,0.529678,0.313951
181,T,0.599647,0.462013
182,T,0.71104,0.406194
183,H,0.683667,0.362715
184,R,0.507005,0.154745
185,R,0.485223,0.174068
186,R,0.673008,0.55716
187,P,0.263669,0.172399
188,P,0.529557,0.190366
189,P,0.43936,0.286741
190,T,0.412709,0.153946
191,T,0.493655,0.280147
192,T,0.339534,0.155461
193,T,0.380326,0.228308
194,T,0.462284,0.297726
195,T,0.543871,0.26024
196,H,0.521743,0.325838
197,R,0.686139,0.333117
198,R,0.481798,0.231391
199,P,0.253389,0.0999243
200,P,0.526487,0.410588
201,T,0.525968,0.317389
202,P,0.584818,0.313559
203,P,0.355441,0.143819
204,T,0.531832,0.355242
205,R,0.695147,0.428851
206,R,0.579302,0.214002
207,R,0.566733,0.252744
208,R,0.725966,0.40507
209,R,0.756026,0.533268
210,R,0.662371,0.283844
211,R,0.492021,0.278392
212,R,0.826728,0.61844
213,H,0.744946,0.447961
214,P,0.464045,0.155099
215,P,0.467071,0.318625
216,P,0.45138,0.246347
217,T,0.299568,0.152951
218,T,0.330565,0.156389
219,T,0.38886,0.211959
220,T,0.328748,0.183794
221,T,0.790104,0.517851
222,T,0.648948,0.367975
223,H,0.819667,0.460939
224,H,0.79119,0.390356
225,H,0.842857,0.560123
226,R,0.55106,0.298685
227,R,0.706197,0.400244
228,H,0.753539,0.523164
229,H,0.788249,0.372147
230,T,0.793999,0.609184
231,P,0.644731,0.279297
232,P,0.490917,0.225158
233,P,0.621895,0.286709
234,T,0.274769,0.136957
235,T,0.530622,0.261526
236,T,0.250885,0.141488
237,T,0.399445,0.250026
238,T,0.61675,0.447173
239,T,0.591746,0.321242
240,P,0.400303,0.173992
241,P,0.599997,0.346027
242,H,0.838356,0.397025
243,P,0.633558,0.372749
244,P,0.397918,0.176731
245,P,0.668641,0.435376
246,P,0.551646,0.372273
247,P,0.634729,0.390317
248,P,0.427367,0.210576
249,P,0.545125,0.311439
250,T,0.52647,0.237501
251,T,0.303824,0.13631
252,T,0.354972,0.149038
253,T,0.334696,0.136562
254,T,0.672746,0.355595
255,T,0.499041,0.235067
256,H,0.631736,0.422663
257,P,0.323183,0.192157
258,P,0.355894,0.193656
259,P,0.455782,0.340906
260,T,0.746757,0.618403
261,P,0.371775,0.201103
262,P,0.722377,0.486945
263,P,0.466691,0.186733
264,P,0.115802,0.0635519
265,P,0.22416,0.0896112
266,P,0.560434,0.252083
267,P,0.447477,0.196959
268,P,0.449788,0.198035
269,T,0.179492,0.0630097
270,T,0.343208,0.146772
271,T,0.392595,0.212717
272,T,0.230877,0.102945
273,T,0.499472,0.314968
274,T,0.601161,0.271223
275,R,0.86813,0.606122
276,T,0.523557,0.334278
277,T,0.559667,0.347415
278,T,0.549364,0.370526
279,T,0.635911,0.547021
280,T,0.756107,0.595601
281,T,0.708878,0.466559
282,P,0.595117,0.331595
283,P,0.632339,0.233179
