element_idx,element_type,jens,jeans
0,T,0.738284,0.610581
1,R,0.71845,0.441431
2,H,0.756319,0.27109
3,R,0.601847,0.492772
4,R,0.697461,0.40572
5,H,0.176981,0.0467931
6,H,0.0257946,0.00946211
7,H,0.0613638,0.0405468
8,R,0.572877,0.23237
9,R,0.495811,0.277439
10,H,0.499341,0.270527
11,H,0.610049,0.200702
12,H,0.799571,0.278184
13,H,0.806313,0.431519
14,R,0.342853,0.180427
15,R,0.462385,0.245396
16,P,0.287761,0.211897
17,P,0.126526,0.0704786
18,P,0.466497,0.202645
19,P,0.0846017,0.0455378
20,P,0.170807,0.0564342
21,R,0.246425,0.0776571
22,R,0.561876,0.268748
23,T,0.487321,0.331927
24,T,0.496758,0.297882
25,T,0.853459,0.702858
26,T,0.748864,0.579303
27,R,0.612333,0.430415
28,R,0.71943,0.453975
29,R,0.601847,0.466472
30,H,0.188956,0.14335
31,H,0.690767,0.255693
32,R,0.802325,0.399331
33,H,0.245792,0.0948268
34,P,-0.0751722,-0.0316415
35,P,-0.223094,-0.0570996
36,P,0.200001,0.053759
37,R,0.67274,0.230845
38,R,0.506103,0.191722
39,H,0.720677,0.469777
40,R,0.5712,0.265874
41,H,0.401482,0.0431767
42,P,0.0530662,0.0423345
43,P,0.651273,0.498573
44,P,0.0212974,0.0125114
45,H,0.783941,0.364467
46,R,0.507677,0.33164
47,H,0.435153,0.168868
48,R,0.56998,0.186058
49,R,0.298586,0.100686
50,H,0.218613,0.0862211
51,P,0.330454,0.166508
52,P,0.194802,0.0860882
53,R,0.452704,0.181963
54,R,0.66974,0.448983
55,T,0.45247,0.283554
56,T,0.183122,0.0894297
57,T,0.391239,0.233444
58,T,0.446129,0.324088
59,R,0.26532,0.0934309
60,R,0.848049,0.583093
61,T,0.874377,0.66645
62,P,0.307225,0.168345
63,P,0.495613,0.251038
64,T,0.492992,0.272337
65,T,0.39286,0.158833
66,T,0.566077,0.422128
67,T,0.551657,0.366548
68,R,0.709125,0.587149
69,R,0.670315,0.307255
70,R,0.4426,0.183383
71,R,0.744291,0.519878
72,R,0.144398,0.134318
73,R,0.398546,0.189758
74,H,0.754736,0.3584
75,H,0.362116,0.110919
76,H,0.389537,0.107881
77,H,0.555633,0.206519
78,P,0.261663,0.138707
79,P,0.376432,0.144496
80,P,0.426131,0.16979
81,R,0.243189,0.0860774
82,R,0.292234,0.104315
83,R,0.398546,0.171932
84,T,0.558289,0.516753
85,R,0.648943,0.384067
86,H,0.831378,0.332752
87,H,0.646114,0.304379
88,R,0.406567,0.178236
89,H,0.63905,0.225516
90,H,0.77133,0.398009
91,H,0.712447,0.25068
92,R,0.584714,0.392965
93,R,0.461205,0.157107
94,H,0.767656,0.343907
95,P,0.288193,0.226023
96,P,0.455652,0.288188
97,P,0.348411,0.252971
98,H,0.806202,0.290394
99,H,0.719345,0.268685
100,R,0.466541,0.236892
101,R,0.400036,0.236226
102,R,0.457329,0.176772
103,P,0.325924,0.156068
104,P,0.154528,0.0850135
105,R,0.253918,0.0912557
106,R,0.607427,0.426967
107,T,0.663829,0.444586
108,T,0.621109,0.361029
109,T,0.485535,0.254931
110,T,0.694519,0.483584
111,R,0.74723,0.600281
112,R,0.634844,0.197061
113,P,0.390651,0.226879
114,P,0.410654,0.219564
115,T,0.730284,0.536155
116,T,0.803199,0.594309
117,T,0.7153,0.572557
118,T,0.892972,0.64727
119,R,0.787585,0.184575
120,R,0.296915,0.104278
121,R,0.716488,0.475118
122,H,0.722183,0.280112
123,R,0.405208,0.263117
124,H,0.727924,0.274211
125,P,0.457105,0.259398
126,P,0.336016,0.161542
127,P,0.567212,0.205907
128,H,0.80683,0.330342
129,R,0.405208,0.263117
130,H,0.791382,0.359967
131,R,0.537829,0.325328
132,R,0.402203,0.141506
133,T,0.222727,0.126811
134,T,0.297866,0.201902
135,T,0.451913,0.197163
136,T,0.481534,0.440039
137,P,0.174512,0.113799
138,P,0.167321,0.0984239
139,R,0.479003,0.171086
140,R,0.516116,0.225936
141,R,0.623914,0.265368
142,R,0.300041,0.121642
143,T,0.658122,0.486733
144,R,0.326885,0.152682
145,P,0.14996,0.100899
146,P,0.288197,0.226307
147,R,-0.0571986,-0.0508628
148,R,0.717031,0.381446
149,T,0.497155,0.361457
150,T,0.524518,0.237206
151,T,0.302908,0.175158
152,T,0.510108,0.398779
153,R,0.513753,0.256258
154,H,0.524874,0.298957
155,R,0.461205,0.324157
156,R,0.579096,0.276404
157,H,0.745346,0.388037
158,R,0.478469,0.168204
159,R,0.371616,0.187551
160,H,0.478742,0.123156
161,H,0.818439,0.416855
162,P,0.346988,0.208838
163,P,0.427902,0.247336
164,P,0.119733,0.0619966
165,H,0.533002,0.321931
166,R,0.583484,0.357906
167,T,0.490832,0.461467
168,R,0.367424,0.135217
169,H,0.471717,0.204518
170,H,0.365609,0.264827
171,R,0.773099,0.655425
172,H,0.472445,0.212431
173,H,0.266475,0.169126
174,H,0.265555,0.11927
175,R,-0.12938,-0.0673925
176,R,0.441961,0.161889
177,R,0.545818,0.221012
178,R,-0.0451636,-0.032936
179,P,0.277196,0.130547
180,P,0.328994,0.152814
181,P,0.30009,0.122987
182,H,0.557841,0.144654
183,H,0.07137,0.0178358
184,T,0.814019,0.728374
185,R,0.535557,0.302777
186,R,0.612654,0.282848
187,P,0.257967,0.10627
188,P,0.263174,0.154065
189,T,0.498853,0.356825
190,T,0.671462,0.557667
191,T,0.756673,0.476285
192,T,0.829946,0.700055
193,R,0.31729,0.120501
194,R,0.754185,0.39383
195,P,0.354342,0.150171
196,P,0.194668,0.0980188
197,P,0.138946,0.063515
198,H,0.529668,0.267639
199,R,0.775816,0.253201
200,H,0.464288,0.228035
201,R,0.0759748,0.018516
202,R,0.388044,0.108508
203,H,0.613236,0.304142
204,R,0.59992,0.349466
205,H,0.270785,0.126032
206,R,0.458357,0.257956
207,T,0.721574,0.40629
208,T,0.747373,0.660733
209,T,0.598367,0.498024
210,T,0.859391,0.62088
211,P,0.411435,0.15535
212,P,0.332551,0.189938
213,R,0.46346,0.173147
214,R,0.674603,0.414774
215,R,0.794066,0.372365
216,R,0.77255,0.61644
217,H,0.527624,0.200927
218,H,0.45585,0.0917024
219,R,0.77255,0.599358
220,H,0.706181,0.33733
221,R,0.590924,0.325739
222,R,0.359142,0.233252
223,P,0.348447,0.212577
224,P,0.453905,0.283708
225,P,0.0736473,0.06119
226,H,0.707586,0.492082
227,R,0.471402,0.257463
228,R,0.395964,0.157609
229,P,0.0245304,0.0091228
230,P,0.0853896,0.0607106
231,R,0.726142,0.451822
232,R,0.672253,0.266938
233,T,0.662026,0.418893
234,T,0.0761082,0.0354704
235,T,0.317643,0.187892
236,T,0.541088,0.412711
237,H,-0.0584383,-0.041424
238,H,0.389928,0.221573
239,R,0.558773,0.416036
240,R,0.423913,0.173182
241,P,0.0413678,0.0113132
